################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.4256771334284732E-01 a         1     0     1     1     1
 -1.6953698426987412E-01 a         2     0     1     1     2
 -1.0176096180511431E-01 a         3     0     1     1     3
 -4.8340758310557756E-03 a         4     0     1     1     4
 -2.0105086182834428E-01 a         5     0     1     1     5
 -1.0047331698181305E-01 a         6     0     1     1     6
 -1.0477262759943032E-01 a         7     0     1     1     7
  2.3895667857589711E-01 a         8     0     1     1     8
  3.5245199140282416E-02 a         9     0     1     1     9
  9.8922370807774992E-03 a        10     0     1     1    10
 -5.1731084557190554E-02 a        11     0     1     1    11
  2.2111363697715800E-02 a        12     0     1     1    12
 -4.4225090987025956E-02 a        13     0     1     1    13
 -1.0342075450816260E-01 a        14     0     1     1    14
  1.8651922338291393E-01 a        15     0     1     1    15
  2.0157159328876080E-02 a        16     0     1     1    16
  1.0836660626479494E-01 a        17     0     1     1    17
  1.7148595409607811E-01 a        18     0     1     1    18
 -1.3318408207184987E-01 a        19     0     1     1    19
 -7.0921043571039150E-02 a        20     0     1     1    20
  2.2703106188300309E-01 a        21     0     1     1    21
  1.2083552051058967E-01 a        22     0     1     1    22
 -1.5524959935895085E-02 a        23     0     1     1    23
  1.1366786620073507E-01 a        24     0     1     1    24
 -2.7137581071131144E-02 a        25     0     1     1    25
  1.3785399390211114E-02 a        26     0     2     1     1
 -7.8494155948630705E-03 a        27     0     2     1     2
 -8.5543834609450406E-02 a        28     0     2     1     3
  8.0149817137953466E-02 a        29     0     2     1     4
  6.4622839310019456E-02 a        30     0     2     1     5
  6.3085450739377463E-02 a        31     0     2     1     6
  7.2886410817507106E-03 a        32     0     2     1     7
 -1.1208325841013606E-01 a        33     0     2     1     8
  5.0437695159164251E-03 a        34     0     2     1     9
 -2.4675665040051931E-01 a        35     0     2     1    10
 -4.5153527784886023E-02 a        36     0     2     1    11
 -3.0250232415033238E-03 a        37     0     2     1    12
 -2.5538239599815767E-02 a        38     0     2     1    13
 -6.4542729537365329E-03 a        39     0     2     1    14
  1.5144319228452041E-01 a        40     0     2     1    15
  1.0324608204315365E-01 a        41     0     2     1    16
  4.3775927283619719E-03 a        42     0     2     1    17
 -1.7708097892275848E-01 a        43     0     2     1    18
  2.2141035187498864E-01 a        44     0     2     1    19
  4.6815888527069277E-02 a        45     0     2     1    20
