################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7594145267682607E-01 a         1     0     1     1     1
 -5.5954459232215337E-01 a         2     0     1     1     2
  1.2610506460390625E-01 a         3     0     1     1     3
 -3.0818750861872451E-01 a         4     0     1     1     4
 -1.1155135106763424E-01 a         5     0     1     1     5
  1.4130211070117119E-01 a         6     0     1     1     6
  8.8744221795885078E-02 a         7     0     1     1     7
 -8.3016965140926813E-01 a         8     0     1     1     8
  4.0191252634517322E-01 a         9     0     1     1     9
  8.1164699890229480E-02 a        10     0     1     1    10
 -2.9654596309647535E-01 a        11     0     1     1    11
 -1.4225225543845890E-02 a        12     0     1     1    12
 -8.6579529841031025E-02 a        13     0     1     1    13
  4.0263037231828552E-01 a        14     0     1     1    14
  2.7904138002465201E-01 a        15     0     1     1    15
  3.9422422627371390E-01 a        16     0     1     1    16
  2.6599909888694184E-01 a        17     0     1     1    17
  5.9223588777524282E-02 a        18     0     1     1    18
 -9.1823820778662346E-01 a        19     0     1     1    19
 -5.8410748142941904E-01 a        20     0     1     1    20
 -1.9008649427942739E-01 a        21     0     1     1    21
  3.3262602130363708E-03 a        22     0     1     1    22
 -5.4612232792494986E-01 a        23     0     1     1    23
  2.5894672791946251E-03 a        24     0     1     1    24
 -5.8712665216553973E-02 a        25     0     1     1    25
  2.2455163431725561E-01 a        26     0     2     1     1
 -5.3252476283127008E-02 a        27     0     2     1     2
 -3.8429827906518710E-01 a        28     0     2     1     3
  1.8480494687777604E-01 a        29     0     2     1     4
  4.8759858421518054E-01 a        30     0     2     1     5
 -4.5968479164302972E-01 a        31     0     2     1     6
 -5.2535323204654476E-02 a        32     0     2     1     7
  1.3319189982436017E-01 a        33     0     2     1     8
  1.0987413034557285E-01 a        34     0     2     1     9
 -1.4355885724561349E-01 a        35     0     2     1    10
  4.0439236041908361E-01 a        36     0     2     1    11
