################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6245209107165437E-01 a         1     0     1     1     1
 -9.1501985173882888E-02 a         2     0     1     1     2
  8.1899232192259364E-02 a         3     0     1     1     3
  6.6111858012385144E-02 a         4     0     1     1     4
 -8.9844029208690449E-03 a         5     0     1     1     5
  1.0129004662121283E-01 a         6     0     1     1     6
 -1.0311360064498916E-01 a         7     0     1     1     7
  2.0540844104178160E-01 a         8     0     1     1     8
  8.6753135156307698E-02 a         9     0     1     1     9
  4.4488326727986159E-02 a        10     0     1     1    10
  1.9465365124010464E-01 a        11     0     1     1    11
  3.2778769702191027E-02 a        12     0     1     1    12
 -3.6279272273025208E-02 a        13     0     1     1    13
 -1.7422871120233963E-01 a        14     0     1     1    14
  2.6610487783696751E-01 a        15     0     1     1    15
  2.0975915666314712E-01 a        16     0     1     1    16
  8.4036602556080531E-02 a        17     0     1     1    17
 -1.1298391441218346E-01 a        18     0     1     1    18
 -7.8040697294388492E-02 a        19     0     1     1    19
 -1.5880525272482815E-01 a        20     0     1     1    20
 -9.7108541693795075E-04 a        21     0     1     1    21
 -8.6361157555612453E-02 a        22     0     1     1    22
 -5.6947536022292619E-02 a        23     0     1     1    23
 -1.9408772165167240E-01 a        24     0     1     1    24
 -8.3905636871815417E-02 a        25     0     1     1    25
 -2.0593763218080280E-01 a        26     0     2     1     1
  1.0302530022344403E-01 a        27     0     2     1     2
  2.4174610503988427E-02 a        28     0     2     1     3
 -1.6114972416593515E-01 a        29     0     2     1     4
 -3.1427263163303951E-02 a        30     0     2     1     5
 -2.5806650616299075E-02 a        31     0     2     1     6
  9.0978004222980011E-02 a        32     0     2     1     7
  4.7078144463527039E-02 a        33     0     2     1     8
 -2.4111417244904451E-01 a        34     0     2     1     9
 -2.0259227033769989E-01 a        35     0     2     1    10
