################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.2278996807079215E-02 a         1     0     1     1     1
  2.0335133073871217E-01 a         2     0     1     1     2
 -6.1103438784622509E-02 a         3     0     1     1     3
  4.2725076065765621E-01 a         4     0     1     1     4
  3.2678761111391585E-01 a         5     0     1     1     5
 -4.2152563494111728E-01 a         6     0     1     1     6
 -4.8325756895481786E-01 a         7     0     1     1     7
 -1.7148010301807037E-01 a         8     0     1     1     8
 -1.2326527626052131E-01 a         9     0     1     1     9
 -1.7180656920632045E+00 a        10     0     1     1    10
  2.6505161436997432E-01 a        11     0     1     1    11
 -1.1657429856484627E+00 a        12     0     1     1    12
  1.0935058747156955E-01 a        13     0     1     1    13
 -1.4671470298745434E-01 a        14     0     1     1    14
 -1.4855843579491951E-01 a        15     0     1     1    15
  2.9366161262770318E-01 a        16     0     1     1    16
  3.5281663267999303E-01 a        17     0     1     1    17
  1.9406855679148471E-01 a        18     0     1     1    18
  2.4729682496120245E-01 a        19     0     1     1    19
 -7.0895907202105279E-01 a        20     0     1     1    20
  4.5178496620614694E-01 a        21     0     1     1    21
  3.4200070005364382E-02 a        22     0     1     1    22
 -2.0768869275830694E-02 a        23     0     1     1    23
  2.6636725517638038E-01 a        24     0     1     1    24
 -5.0122615239325673E-02 a        25     0     1     1    25
 -1.2970353077505281E-01 a        26     0     2     1     1
  9.3647138086221926E-01 a        27     0     2     1     2
 -1.1267138103244703E-01 a        28     0     2     1     3
 -4.0034143474291473E-01 a        29     0     2     1     4
  6.8658838341863190E-02 a        30     0     2     1     5
 -3.7026236452089589E-01 a        31     0     2     1     6
 -1.0885945379890866E-01 a        32     0     2     1     7
 -4.3546930736538614E-01 a        33     0     2     1     8
 -3.6907640236591349E-01 a        34     0     2     1     9
  2.8775340256372156E-01 a        35     0     2     1    10
 -2.3277255855494092E-01 a        36     0     2     1    11
  2.8996611912549808E-01 a        37     0     2     1    12
  1.0235027329108402E-01 a        38     0     2     1    13
  6.4880206630749754E-02 a        39     0     2     1    14
  4.6862599103259317E-01 a        40     0     2     1    15
  1.0196891938849446E-01 a        41     0     2     1    16
  2.0252158071101020E-01 a        42     0     2     1    17
  6.4842115686313914E-02 a        43     0     2     1    18
 -1.7834109167958689E-01 a        44     0     2     1    19
 -1.0600775225720485E-01 a        45     0     2     1    20
  2.4387663614757775E-03 a        46     0     2     1    21
  4.9495570354194168E-01 a        47     0     2     1    22
 -1.7093167596910480E-01 a        48     0     2     1    23
  5.2187526827322461E-01 a        49     0     2     1    24
  5.2059266195610576E-01 a        50     0     2     1    25
 -2.0822002761098888E-02 a        51     0     3     1     1
 -7.1639167248850458E-02 a        52     0     3     1     2
 -1.6275719346644146E-01 a        53     0     3     1     3
  7.1607937972528637E-02 a        54     0     3     1     4
  4.7466439992885037E-02 a        55     0     3     1     5
 -5.5111234089959646E-02 a        56     0     3     1     6
 -1.0799841179359095E-01 a        57     0     3     1     7
  3.5382435960705651E-02 a        58     0     3     1     8
  1.4146560118622037E-01 a        59     0     3     1     9
  6.9053888968871893E-02 a        60     0     3     1    10
 -1.2408466057423410E-01 a        61     0     3     1    11
 -1.4285606357714539E-01 a        62     0     3     1    12
  4.0760965229298181E-02 a        63     0     3     1    13
  1.3332298796241952E-02 a        64     0     3     1    14
  9.7243499571298575E-02 a        65     0     3     1    15
 -9.2427332401054121E-02 a        66     0     3     1    16
  2.1255729551011539E-02 a        67     0     3     1    17
 -8.2649904556833978E-02 a        68     0     3     1    18
 -5.7299615842021749E-02 a        69     0     3     1    19
 -1.0067081166815134E-01 a        70     0     3     1    20
  1.1413348440133912E-02 a        71     0     3     1    21
  9.1627138115600706E-02 a        72     0     3     1    22
 -7.7127611902158125E-02 a        73     0     3     1    23
  1.2246469502923314E-01 a        74     0     3     1    24
  2.7079665491164828E-01 a        75     0     3     1    25
 -2.9531477021459585E-02 a        76     0     4     1     1
  7.8103733259262134E-02 a        77     0     4     1     2
 -1.0179879173723171E-01 a        78     0     4     1     3
 -1.0186216917927714E-02 a        79     0     4     1     4
 -1.0686232793014467E-02 a        80     0     4     1     5
 -1.2809954741286902E-01 a        81     0     4     1     6
 -3.6574969169734725E-02 a        82     0     4     1     7
 -7.7894327921243511E-02 a        83     0     4     1     8
 -1.0242813830925424E-01 a        84     0     4     1     9
  1.4452893775219383E-01 a        85     0     4     1    10
  1.0921906958421387E-01 a        86     0     4     1    11
 -1.2798962097941227E-01 a        87     0     4     1    12
  4.1433390951852327E-02 a        88     0     4     1    13
  8.4573254315690849E-02 a        89     0     4     1    14
  9.0321243696823192E-02 a        90     0     4     1    15
 -7.3832192646541964E-02 a        91     0     4     1    16
  7.4841899572688927E-02 a        92     0     4     1    17
 -7.7201942809132978E-02 a        93     0     4     1    18
 -6.5333831803659689E-02 a        94     0     4     1    19
  9.1175838870925882E-02 a        95     0     4     1    20
 -2.0641620521452633E-01 a        96     0     4     1    21
  1.7182855335259012E-01 a        97     0     4     1    22
 -1.5133270470018464E-01 a        98     0     4     1    23
  1.7443462603756402E-01 a        99     0     4     1    24
  2.8205447012419865E-02 a       100     0     4     1    25
 -8.0688898830224542E-01 a       101     0     5     1     1
 -7.9234923636828589E-02 a       102     0     5     1     2
 -1.7712330592681302E+00 a       103     0     5     1     3
 -3.6406683842998538E-01 a       104     0     5     1     4
 -2.4107218551948004E-01 a       105     0     5     1     5
 -1.6254917354389936E-01 a       106     0     5     1     6
 -2.8768820185373384E-01 a       107     0     5     1     7
  3.4764152048727837E-01 a       108     0     5     1     8
  1.4481671410516880E-01 a       109     0     5     1     9
  1.0106901728376301E+00 a       110     0     5     1    10
 -3.9211944988106834E-01 a       111     0     5     1    11
  1.1423031593359836E+00 a       112     0     5     1    12
  1.2556873291239229E-01 a       113     0     5     1    13
  1.4655770933347164E-02 a       114     0     5     1    14
  3.9276982354643469E-01 a       115     0     5     1    15
 -4.0640604542174380E-01 a       116     0     5     1    16
 -4.9045593938581861E-01 a       117     0     5     1    17
  3.8777722668206988E-01 a       118     0     5     1    18
  2.6153438364070299E-02 a       119     0     5     1    19
  1.7305979996704104E+00 a       120     0     5     1    20
 -6.9407350895471054E-01 a       121     0     5     1    21
  1.7784867007153116E-01 a       122     0     5     1    22
  7.8437124981681622E-02 a       123     0     5     1    23
  1.1022871229969282E-02 a       124     0     5     1    24
 -4.9828578796705569E-01 a       125     0     5     1    25
  8.8491016394581738E-03 a       126     0     6     1     1
 -5.7635102235131264E-01 a       127     0     6     1     2
  1.2482919153246652E-02 a       128     0     6     1     3
 -5.5924228457012115E-01 a       129     0     6     1     4
  1.8963243272530364E-01 a       130     0     6     1     5
