################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.4421709154208485E-02 a         1     0     1     1     1
 -1.4901110051143721E-01 a         2     0     1     1     2
  1.4772454626834022E-01 a         3     0     1     1     3
  9.6927688156037195E-02 a         4     0     1     1     4
 -7.4384282771720505E-03 a         5     0     1     1     5
 -1.6737030035082942E-01 a         6     0     1     1     6
 -7.2101527930425818E-02 a         7     0     1     1     7
  2.0698829287356252E-01 a         8     0     1     1     8
  3.8170430950872601E-02 a         9     0     1     1     9
  1.6189810351044363E-02 a        10     0     1     1    10
 -1.2977329409104644E-02 a        11     0     1     1    11
 -2.5313209214956615E-02 a        12     0     1     1    12
 -1.7102607117592897E-01 a        13     0     1     1    13
 -5.5610209639340498E-02 a        14     0     1     1    14
 -3.2985939414256049E-01 a        15     0     1     1    15
  2.1575618111482026E-01 a        16     0     1     1    16
 -1.0546561850844650E-01 a        17     0     1     1    17
 -1.0276494565913252E-01 a        18     0     1     1    18
 -2.0266000443274879E-01 a        19     0     1     1    19
 -1.4854278493327230E-01 a        20     0     1     1    20
  6.8836589581440483E-02 a        21     0     1     1    21
 -1.7086924242767637E-01 a        22     0     1     1    22
 -9.9412654772005504E-02 a        23     0     1     1    23
 -1.9835065572431404E-01 a        24     0     1     1    24
  6.9766406292107105E-02 a        25     0     1     1    25
  1.3670120399889366E-01 a        26     0     2     1     1
 -1.5120782020126089E-01 a        27     0     2     1     2
 -3.9662897035701028E-02 a        28     0     2     1     3
  1.5677776948656291E-01 a        29     0     2     1     4
 -1.1911604180605806E-01 a        30     0     2     1     5
  1.6335061116197466E-01 a        31     0     2     1     6
 -7.8319684886649532E-02 a        32     0     2     1     7
  9.8386191579868540E-02 a        33     0     2     1     8
 -4.1910073889776078E-02 a        34     0     2     1     9
  3.3310867123635276E-03 a        35     0     2     1    10
 -1.6106045553503209E-01 a        36     0     2     1    11
  1.2059582151374239E-02 a        37     0     2     1    12
  9.1128515994100753E-02 a        38     0     2     1    13
  1.7983718310014513E-01 a        39     0     2     1    14
 -1.4181094615412176E-01 a        40     0     2     1    15
  1.0211382217338774E-01 a        41     0     2     1    16
 -2.2071449229205090E-01 a        42     0     2     1    17
 -1.1289509383448056E-01 a        43     0     2     1    18
 -5.8129432295460533E-02 a        44     0     2     1    19
 -2.1772245225983369E-01 a        45     0     2     1    20
 -1.5809741494971061E-01 a        46     0     2     1    21
  2.0996600625102082E-02 a        47     0     2     1    22
  3.1324251088119558E-02 a        48     0     2     1    23
  8.6225283436420594E-02 a        49     0     2     1    24
  2.0093370791629622E-01 a        50     0     2     1    25
  5.2460512880608032E-02 a        51     0     3     1     1
  9.4405060918851119E-03 a        52     0     3     1     2
  2.3097101286294705E-01 a        53     0     3     1     3
  8.9958530800807943E-02 a        54     0     3     1     4
  1.1492734545848272E-01 a        55     0     3     1     5
  5.3297196750100480E-02 a        56     0     3     1     6
 -3.1448544164450455E-02 a        57     0     3     1     7
  3.8653477111708756E-01 a        58     0     3     1     8
 -1.8560539405896295E-01 a        59     0     3     1     9
  2.3230165647831152E-01 a        60     0     3     1    10
 -6.2693200994241277E-02 a        61     0     3     1    11
 -6.6635193871319720E-02 a        62     0     3     1    12
 -8.6469771762063427E-02 a        63     0     3     1    13
 -1.3327816429605793E-01 a        64     0     3     1    14
 -1.6793677033776225E-01 a        65     0     3     1    15
  9.5618890057683082E-03 a        66     0     3     1    16
  7.5011899666000258E-03 a        67     0     3     1    17
  1.6504206971265026E-01 a        68     0     3     1    18
  5.4362043172608225E-02 a        69     0     3     1    19
 -2.8466752846586844E-02 a        70     0     3     1    20
 -4.3124347702802934E-02 a        71     0     3     1    21
  3.5556541315702336E-02 a        72     0     3     1    22
 -1.2268390721650310E-01 a        73     0     3     1    23
  2.7921519416163609E-02 a        74     0     3     1    24
 -7.0492967161352005E-02 a        75     0     3     1    25
 -1.0279065042962181E-01 a        76     0     4     1     1
 -1.2636041337575077E-01 a        77     0     4     1     2
 -1.1625585630999616E-02 a        78     0     4     1     3
  9.9619925279940735E-02 a        79     0     4     1     4
  1.1245585286230250E-02 a        80     0     4     1     5
  1.8230491614720953E-01 a        81     0     4     1     6
  7.9493563155941371E-03 a        82     0     4     1     7
 -2.0171070721096904E-01 a        83     0     4     1     8
 -2.4342080355854634E-01 a        84     0     4     1     9
 -1.9692564621703618E-02 a        85     0     4     1    10
 -9.0424553927043863E-02 a        86     0     4     1    11
  3.2949373888939697E-02 a        87     0     4     1    12
  3.8168350390527267E-02 a        88     0     4     1    13
  6.4523650729037360E-02 a        89     0     4     1    14
 -1.4562663696967679E-01 a        90     0     4     1    15
  1.4569720914859571E-01 a        91     0     4     1    16
 -5.3357113428349527E-02 a        92     0     4     1    17
