################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5222374526054333E-01 a         1     0     1     1     1
  1.6423455336814588E-01 a         2     0     1     1     2
 -1.2423468280621142E-01 a         3     0     1     1     3
  3.0131284911612521E-04 a         4     0     1     1     4
 -2.1514300203540532E-01 a         5     0     1     1     5
 -1.6880958698352591E-01 a         6     0     1     1     6
 -7.9568633025993166E-02 a         7     0     1     1     7
 -9.7054712866390253E-02 a         8     0     1     1     8
  4.9017996981021342E-02 a         9     0     1     1     9
 -4.5654315042477758E-02 a        10     0     1     1    10
 -1.7652124302033625E-02 a        11     0     1     1    11
  1.3262390695691989E-01 a        12     0     1     1    12
 -3.3989009104662918E-02 a        13     0     1     1    13
  1.1425154978354625E-01 a        14     0     1     1    14
 -2.9021418150177569E-01 a        15     0     1     1    15
  1.1729488986743652E-01 a        16     0     1     1    16
  1.0117690314015577E-01 a        17     0     1     1    17
  7.3831334772669732E-02 a        18     0     1     1    18
 -8.0958275150921744E-02 a        19     0     1     1    19
  4.7685089751246849E-02 a        20     0     1     1    20
  1.7308592020436178E-02 a        21     0     1     1    21
  2.2011286855683990E-01 a        22     0     1     1    22
 -1.0773937302647102E-01 a        23     0     1     1    23
 -4.7822081259693498E-02 a        24     0     1     1    24
 -3.9570006570928884E-03 a        25     0     1     1    25
  9.2361882277237267E-02 a        26     0     2     1     1
 -7.1710095914145122E-02 a        27     0     2     1     2
 -1.8448048884002885E-01 a        28     0     2     1     3
  2.0330262246721872E-01 a        29     0     2     1     4
 -3.3322139850865053E-02 a        30     0     2     1     5
 -1.1609314467891993E-02 a        31     0     2     1     6
  3.0365910769019663E-02 a        32     0     2     1     7
  5.4847165483073217E-02 a        33     0     2     1     8
 -4.5716053909242493E-02 a        34     0     2     1     9
  1.4647379618510450E-01 a        35     0     2     1    10
 -1.7327620080902306E-01 a        36     0     2     1    11
  4.2604212477990920E-02 a        37     0     2     1    12
  1.2345963196964749E-01 a        38     0     2     1    13
  1.3765153416066059E-01 a        39     0     2     1    14
 -2.0290819409261196E-01 a        40     0     2     1    15
  2.0467495528100335E-01 a        41     0     2     1    16
 -2.1567623449101628E-01 a        42     0     2     1    17
 -1.1418711679277235E-01 a        43     0     2     1    18
  1.0710073189187028E-01 a        44     0     2     1    19
 -1.9527973645834761E-02 a        45     0     2     1    20
 -6.6759525876200446E-02 a        46     0     2     1    21
  2.6728815267564798E-01 a        47     0     2     1    22
  2.6049338108118807E-02 a        48     0     2     1    23
  1.9772660603935469E-01 a        49     0     2     1    24
  8.1845095092009615E-02 a        50     0     2     1    25
  1.3679917147676160E-01 a        51     0     3     1     1
 -5.8297943381546896E-02 a        52     0     3     1     2
  3.8288087369930481E-02 a        53     0     3     1     3
 -1.6137299344739963E-02 a        54     0     3     1     4
 -9.9084645252977319E-02 a        55     0     3     1     5
 -9.0309218480009223E-02 a        56     0     3     1     6
  6.1195227601428641E-02 a        57     0     3     1     7
 -3.0118149136024303E-01 a        58     0     3     1     8
 -1.3701558497055821E-01 a        59     0     3     1     9
  2.3313133038098416E-01 a        60     0     3     1    10
 -9.4558164118119917E-02 a        61     0     3     1    11
  2.0411765253439446E-01 a        62     0     3     1    12
  2.2430798376310390E-01 a        63     0     3     1    13
  1.2086135441590453E-02 a        64     0     3     1    14
  5.4119034454395455E-02 a        65     0     3     1    15
  1.1262233357387412E-01 a        66     0     3     1    16
 -1.0517872734275115E-01 a        67     0     3     1    17
 -7.6806308419221384E-02 a        68     0     3     1    18
 -1.1611863496671454E-01 a        69     0     3     1    19
 -6.6741786348395851E-02 a        70     0     3     1    20
 -7.4856929744306008E-02 a        71     0     3     1    21
  7.0120343743558480E-02 a        72     0     3     1    22
  7.2626859646612946E-02 a        73     0     3     1    23
 -3.1740240977107960E-02 a        74     0     3     1    24
  2.0087339238704125E-02 a        75     0     3     1    25
  1.7830609850579582E-01 a        76     0     4     1     1
 -1.0355046952551759E-02 a        77     0     4     1     2
  1.0782500126196329E-01 a        78     0     4     1     3
  8.7053442816211218E-02 a        79     0     4     1     4
 -5.8823248147581449E-02 a        80     0     4     1     5
 -6.1572286198274880E-02 a        81     0     4     1     6
 -8.3532450877402936E-02 a        82     0     4     1     7
  5.9205989221976466E-02 a        83     0     4     1     8
  5.8448245956813527E-02 a        84     0     4     1     9
 -6.9313562401098856E-03 a        85     0     4     1    10
 -2.8414266227202136E-02 a        86     0     4     1    11
 -1.8557552861648213E-01 a        87     0     4     1    12
  4.1332816455314841E-03 a        88     0     4     1    13
 -1.7526738025406149E-01 a        89     0     4     1    14
  1.5104029157705851E-01 a        90     0     4     1    15
  1.1711626743406185E-01 a        91     0     4     1    16
 -2.2516933464285424E-01 a        92     0     4     1    17
  6.9830615441686131E-02 a        93     0     4     1    18
  2.8519118193340239E-02 a        94     0     4     1    19
  3.9684649094360806E-02 a        95     0     4     1    20
  7.1929571906577366E-02 a        96     0     4     1    21
  1.2214281166539705E-01 a        97     0     4     1    22
  5.3655042638987384E-02 a        98     0     4     1    23
 -9.1804959425777113E-02 a        99     0     4     1    24
 -9.3407429090749707E-03 a       100     0     4     1    25
 -2.7728358580723522E-01 a       101     0     5     1     1
 -1.2017465328763423E-01 a       102     0     5     1     2
  2.1382853576709504E-01 a       103     0     5     1     3
  3.8902710886002580E-03 a       104     0     5     1     4
 -1.4228137246121295E-01 a       105     0     5     1     5
  1.4707873989982079E-01 a       106     0     5     1     6
 -8.9042565313898883E-02 a       107     0     5     1     7
 -5.9534962252601721E-02 a       108     0     5     1     8
 -1.9172175343977013E-01 a       109     0     5     1     9
  2.8738428617909428E-01 a       110     0     5     1    10
 -4.0413629428572254E-02 a       111     0     5     1    11
 -1.2775769397904513E-01 a       112     0     5     1    12
 -1.2954603591412964E-02 a       113     0     5     1    13
 -2.4722224967922460E-01 a       114     0     5     1    14
 -3.5599994205498947E-02 a       115     0     5     1    15
 -1.6027287594232703E-01 a       116     0     5     1    16
  2.4629938384601444E-01 a       117     0     5     1    17
 -1.6599662901626014E-01 a       118     0     5     1    18
 -9.9971593532959518E-03 a       119     0     5     1    19
 -9.3963628037512847E-02 a       120     0     5     1    20
 -2.2713092502544749E-01 a       121     0     5     1    21
  5.6774193161903623E-02 a       122     0     5     1    22
  3.2202477945930047E-01 a       123     0     5     1    23
  9.1406656578874174E-02 a       124     0     5     1    24
  3.0684891061351232E-02 a       125     0     5     1    25
 -2.4312227010727227E-02 a       126     0     6     1     1
  2.0048209858335175E-02 a       127     0     6     1     2
  2.1734031640353768E-01 a       128     0     6     1     3
 -6.7023733348325995E-02 a       129     0     6     1     4
  1.3645269400335303E-01 a       130     0     6     1     5
  2.5205923423842480E-02 a       131     0     6     1     6
  6.9628551783062625E-02 a       132     0     6     1     7
 -1.6114585675469806E-02 a       133     0     6     1     8
  1.6678532606363119E-02 a       134     0     6     1     9
 -1.7627693712190437E-01 a       135     0     6     1    10
  1.7912376376374053E-01 a       136     0     6     1    11
 -7.5453039323877452E-02 a       137     0     6     1    12
 -9.2317013757802213E-02 a       138     0     6     1    13
 -1.5482420138997133E-01 a       139     0     6     1    14
  4.8381983295227513E-02 a       140     0     6     1    15
 -8.1157894117409313E-02 a       141     0     6     1    16
 -5.1509540629918825E-02 a       142     0     6     1    17
  1.5802138810098801E-01 a       143     0     6     1    18
 -1.2638702288646531E-01 a       144     0     6     1    19
  2.0530170483908713E-01 a       145     0     6     1    20
 -9.2974059219614778E-04 a       146     0     6     1    21
 -2.0095520431192740E-01 a       147     0     6     1    22
  1.8269391032095645E-02 a       148     0     6     1    23
  1.2546091150880057E-01 a       149     0     6     1    24
  1.4676913635075156E-01 a       150     0     6     1    25
 -5.6851279898263531E-02 a       151     0     7     1     1
  2.7740278528014151E-01 a       152     0     7     1     2
 -1.2857918021898621E-02 a       153     0     7     1     3
  2.2411942915619959E-01 a       154     0     7     1     4
  1.9348322687329508E-01 a       155     0     7     1     5
 -3.3681414500924468E-02 a       156     0     7     1     6
 -1.6790087881024732E-01 a       157     0     7     1     7
 -2.0818875356713937E-01 a       158     0     7     1     8
 -2.2514306219203664E-01 a       159     0     7     1     9
  2.3400478734844396E-01 a       160     0     7     1    10
  1.8008689506256378E-02 a       161     0     7     1    11
  6.5179114295750287E-03 a       162     0     7     1    12
 -3.0693163616415176E-01 a       163     0     7     1    13
  2.1271967934498683E-02 a       164     0     7     1    14
  3.4384737708767514E-03 a       165     0     7     1    15
  2.2687354222868705E-01 a       166     0     7     1    16
  4.0426225196191656E-02 a       167     0     7     1    17
  1.4413676497119002E-01 a       168     0     7     1    18
  1.1505260072865116E-01 a       169     0     7     1    19
  3.5738382547750656E-02 a       170     0     7     1    20
  1.9708675173795331E-01 a       171     0     7     1    21
  1.2000556666254003E-01 a       172     0     7     1    22
 -1.0671697980653286E-01 a       173     0     7     1    23
  5.2127779275141777E-02 a       174     0     7     1    24
 -3.6221496439282165E-02 a       175     0     7     1    25
 -4.0523348368284320E-02 a       176     0     8     1     1
 -1.2139493312938575E-01 a       177     0     8     1     2
 -1.4551034044333794E-01 a       178     0     8     1     3
 -2.3171122917352255E-01 a       179     0     8     1     4
 -1.0082621822530653E-01 a       180     0     8     1     5
  2.6153563963148724E-01 a       181     0     8     1     6
  1.9508882004336710E-02 a       182     0     8     1     7
  1.1116378540399387E-01 a       183     0     8     1     8
  7.3099935486957660E-02 a       184     0     8     1     9
 -1.3935575214673013E-01 a       185     0     8     1    10
  6.3249415993123073E-02 a       186     0     8     1    11
  1.3572052450505834E-01 a       187     0     8     1    12
 -1.0855783596951808E-01 a       188     0     8     1    13
  3.6867823803184807E-01 a       189     0     8     1    14
  5.2396127480281947E-02 a       190     0     8     1    15
 -2.6932104384992289E-01 a       191     0     8     1    16
 -2.2665992726894094E-01 a       192     0     8     1    17
 -1.2147856840177101E-01 a       193     0     8     1    18
  3.5741915596679170E-02 a       194     0     8     1    19
  1.6031510100935026E-01 a       195     0     8     1    20
 -8.7469959215557572E-02 a       196     0     8     1    21
  6.9125819977804174E-03 a       197     0     8     1    22
  4.2881386618404665E-03 a       198     0     8     1    23
  1.4460155277387501E-01 a       199     0     8     1    24
 -1.4265339684206091E-01 a       200     0     8     1    25
  2.2843416925230700E-01 a       201     0     9     1     1
  1.5031798737630786E-01 a       202     0     9     1     2
 -1.9592704400775918E-02 a       203     0     9     1     3
  5.4423462808159392E-02 a       204     0     9     1     4
 -1.0659608368956591E-01 a       205     0     9     1     5
 -1.8846572616974233E-01 a       206     0     9     1     6
  5.2627125296482835E-02 a       207     0     9     1     7
 -1.4404466225607688E-02 a       208     0     9     1     8
 -9.5888328608334586E-02 a       209     0     9     1     9
 -1.2731483531223184E-01 a       210     0     9     1    10
 -6.3189702075336460E-02 a       211     0     9     1    11
  3.7356892726156839E-03 a       212     0     9     1    12
 -5.3276012843180330E-03 a       213     0     9     1    13
 -1.0206306258256929E-01 a       214     0     9     1    14
 -2.3324361673999319E-01 a       215     0     9     1    15
  9.9671943438634836E-02 a       216     0     9     1    16
  1.6709284756386325E-01 a       217     0     9     1    17
 -2.1144965025106766E-01 a       218     0     9     1    18
  1.8984212681328300E-01 a       219     0     9     1    19
 -5.1405450279857406E-02 a       220     0     9     1    20
  1.6403367146718689E-01 a       221     0     9     1    21
  1.3217543396662565E-01 a       222     0     9     1    22
 -1.3550435515654480E-01 a       223     0     9     1    23
 -1.0893611873579177E-01 a       224     0     9     1    24
 -3.8252305810609497E-02 a       225     0     9     1    25
 -2.3843269639159345E-01 a       226     0    10     1     1
 -7.7433103109512055E-02 a       227     0    10     1     2
 -1.8914899373385133E-01 a       228     0    10     1     3
 -2.0989793588252859E-01 a       229     0    10     1     4
  7.0810019892749002E-02 a       230     0    10     1     5
  2.6281402452678376E-01 a       231     0    10     1     6
 -2.0312479458943319E-01 a       232     0    10     1     7
 -8.4824274768818930E-02 a       233     0    10     1     8
  2.1045747556273556E-01 a       234     0    10     1     9
  1.8849504319718002E-03 a       235     0    10     1    10
  1.7998034250374570E-01 a       236     0    10     1    11
 -7.7593161403236827E-02 a       237     0    10     1    12
 -2.5377937166313796E-01 a       238     0    10     1    13
 -1.2675957962812807E-02 a       239     0    10     1    14
  5.8236987940569390E-02 a       240     0    10     1    15
 -2.4342387559825063E-01 a       241     0    10     1    16
 -6.2245405282281757E-02 a       242     0    10     1    17
 -1.9902917206921023E-01 a       243     0    10     1    18
 -6.6387319580893361E-02 a       244     0    10     1    19
 -1.6898516533128013E-01 a       245     0    10     1    20
  2.1451879721630840E-01 a       246     0    10     1    21
  6.0801270873443947E-02 a       247     0    10     1    22
 -9.0694394808203016E-02 a       248     0    10     1    23
 -6.6434010724437317E-02 a       249     0    10     1    24
 -3.3399442457660922E-01 a       250     0    10     1    25
  2.2920637867771618E-01 a       251     0    11     1     1
 -2.1917572113030395E-01 a       252     0    11     1     2
  2.4933721234892586E-01 a       253     0    11     1     3
 -3.6070891023698370E-01 a       254     0    11     1     4
 -6.6000313674775241E-02 a       255     0    11     1     5
  1.1442732991302590E-01 a       256     0    11     1     6
  1.3503785413011229E-01 a       257     0    11     1     7
  1.5125335337668797E-01 a       258     0    11     1     8
 -2.0159282114158655E-01 a       259     0    11     1     9
 -4.3751548212009182E-02 a       260     0    11     1    10
 -3.8409875698199321E-02 a       261     0    11     1    11
 -1.6242828997760164E-01 a       262     0    11     1    12
  3.3783533436959536E-02 a       263     0    11     1    13
  3.1682841384782515E-02 a       264     0    11     1    14
 -6.0572948381468761E-02 a       265     0    11     1    15
 -2.3214393182049951E-02 a       266     0    11     1    16
  4.8777313013423876E-02 a       267     0    11     1    17
 -1.3178701116214692E-01 a       268     0    11     1    18
 -1.1922204989669291E-01 a       269     0    11     1    19
  1.7510399011322875E-01 a       270     0    11     1    20
 -1.8198640679655961E-01 a       271     0    11     1    21
 -1.4603443298729715E-01 a       272     0    11     1    22
  3.6272570783477120E-03 a       273     0    11     1    23
  1.2851846120298890E-03 a       274     0    11     1    24
  2.2088419189428174E-01 a       275     0    11     1    25
 -3.8673809266192322E-01 a       276     0    12     1     1
  2.8855219944855601E-02 a       277     0    12     1     2
 -1.2461250252545469E-01 a       278     0    12     1     3
  1.8920111655093380E-01 a       279     0    12     1     4
 -2.9917242986970277E-01 a       280     0    12     1     5
  9.4518150375395960E-02 a       281     0    12     1     6
  1.8877080936095125E-01 a       282     0    12     1     7
  8.0319827356330378E-02 a       283     0    12     1     8
  1.1822190774968312E-01 a       284     0    12     1     9
  1.2564579078017676E-01 a       285     0    12     1    10
  1.4910860677134458E-01 a       286     0    12     1    11
 -2.6611315842317468E-01 a       287     0    12     1    12
 -5.2698031740358265E-03 a       288     0    12     1    13
 -1.1202663402229320E-01 a       289     0    12     1    14
 -1.8894035030815864E-01 a       290     0    12     1    15
 -2.0871777247168677E-01 a       291     0    12     1    16
  9.7851798085267339E-02 a       292     0    12     1    17
 -1.2734978943500664E-02 a       293     0    12     1    18
 -4.4028787113267680E-02 a       294     0    12     1    19
 -5.5204241632245944E-02 a       295     0    12     1    20
  1.5016543484844444E-01 a       296     0    12     1    21
 -1.7174109520789865E-01 a       297     0    12     1    22
  1.3535078826944444E-01 a       298     0    12     1    23
  1.2520568291943432E-01 a       299     0    12     1    24
 -1.8054437923774233E-01 a       300     0    12     1    25
  2.4002734738684420E-01 a       301     0    13     1     1
  3.1668771289083257E-03 a       302     0    13     1     2
  2.5602424629535131E-01 a       303     0    13     1     3
 -1.1275440349225871E-01 a       304     0    13     1     4
  1.0932854819059551E-01 a       305     0    13     1     5
 -5.6930299915703586E-02 a       306     0    13     1     6
 -7.2390817262224419E-02 a       307     0    13     1     7
 -2.3539011542640126E-01 a       308     0    13     1     8
 -1.6213751103639595E-01 a       309     0    13     1     9
  4.9111664706628602E-02 a       310     0    13     1    10
 -2.0297942920030224E-01 a       311     0    13     1    11
  2.8783244337964281E-01 a       312     0    13     1    12
  1.8618163976331678E-01 a       313     0    13     1    13
 -6.7749012368059594E-02 a       314     0    13     1    14
  2.0215342296155980E-01 a       315     0    13     1    15
  1.0127535491296860E-01 a       316     0    13     1    16
  2.1701715104016688E-02 a       317     0    13     1    17
 -1.5514775213165521E-01 a       318     0    13     1    18
 -1.5061688288599104E-01 a       319     0    13     1    19
 -2.4074054745396398E-01 a       320     0    13     1    20
 -1.4524852587023526E-01 a       321     0    13     1    21
 -6.6910430332300569E-02 a       322     0    13     1    22
  1.6894146389485865E-01 a       323     0    13     1    23
  1.3665302243347924E-01 a       324     0    13     1    24
  6.2272734887052976E-02 a       325     0    13     1    25
 -4.4666733754928256E-01 a       326     0    14     1     1
  1.5420501413793131E-01 a       327     0    14     1     2
  7.9336171189292107E-03 a       328     0    14     1     3
 -4.3657650438846625E-02 a       329     0    14     1     4
  3.4021405284336399E-02 a       330     0    14     1     5
  3.1705404427914735E-01 a       331     0    14     1     6
  3.1550460401199708E-02 a       332     0    14     1     7
  6.5131583062439118E-04 a       333     0    14     1     8
  5.5868051239239182E-03 a       334     0    14     1     9
  7.2910105886769688E-02 a       335     0    14     1    10
 -6.8960746826646324E-02 a       336     0    14     1    11
 -3.6912788861763207E-01 a       337     0    14     1    12
 -2.1179490239845875E-01 a       338     0    14     1    13
  2.8140285588217329E-01 a       339     0    14     1    14
  2.5105477635590784E-01 a       340     0    14     1    15
 -1.5540441940785795E-02 a       341     0    14     1    16
 -3.5457816587981045E-01 a       342     0    14     1    17
 -1.2495055971523980E-01 a       343     0    14     1    18
  1.8551601978248658E-01 a       344     0    14     1    19
  3.4068618317036425E-01 a       345     0    14     1    20
 -4.8326730520491697E-02 a       346     0    14     1    21
  2.5173604069203305E-02 a       347     0    14     1    22
  2.2661941134431066E-01 a       348     0    14     1    23
  7.5655509154473083E-02 a       349     0    14     1    24
 -1.7164724266642906E-01 a       350     0    14     1    25
  8.1128798711016775E-02 a       351     0    15     1     1
  3.2588970169877896E-01 a       352     0    15     1     2
 -2.8050468085097275E-02 a       353     0    15     1     3
  6.9204936108007542E-02 a       354     0    15     1     4
 -1.5440858373711877E-01 a       355     0    15     1     5
  1.5381312516590872E-02 a       356     0    15     1     6
 -1.7369164881035740E-01 a       357     0    15     1     7
 -1.6941536039392746E-01 a       358     0    15     1     8
  1.0719361264857261E-01 a       359     0    15     1     9
 -1.1400066703114599E-01 a       360     0    15     1    10
  5.2365177951862345E-02 a       361     0    15     1    11
 -2.3633300950413075E-01 a       362     0    15     1    12
  1.5671197311521320E-02 a       363     0    15     1    13
 -2.5083424708051411E-01 a       364     0    15     1    14
 -6.9498110822746859E-02 a       365     0    15     1    15
  4.8552889829203083E-02 a       366     0    15     1    16
  2.0285436081802438E-01 a       367     0    15     1    17
 -3.0721122028639980E-01 a       368     0    15     1    18
  1.0909845081639984E-01 a       369     0    15     1    19
 -9.9631513922039741E-02 a       370     0    15     1    20
