################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5830850117725790E-01 a         1     0     1     1     1
 -2.1547158439906006E-01 a         2     0     1     1     2
 -5.7049533790663229E-02 a         3     0     1     1     3
 -7.9419793325351540E-02 a         4     0     1     1     4
 -1.5068881806161658E-01 a         5     0     1     1     5
  3.9847980262726259E-03 a         6     0     1     1     6
  3.0153151782162213E-01 a         7     0     1     1     7
  1.3071289955629586E-01 a         8     0     1     1     8
 -1.1352436816416256E+00 a         9     0     1     1     9
 -2.8708551262070220E-01 a        10     0     1     1    10
  1.5357625665675718E+00 a        11     0     1     1    11
  9.3307827321687145E-02 a        12     0     1     1    12
 -1.3231761165293238E-01 a        13     0     1     1    13
  1.8528313356048179E-01 a        14     0     1     1    14
  6.7648534950599068E-02 a        15     0     1     1    15
  3.3933098114301613E-01 a        16     0     1     1    16
  2.7739599221330968E-02 a        17     0     1     1    17
 -4.4259159075272801E-02 a        18     0     1     1    18
 -1.6609448989904068E+00 a        19     0     1     1    19
  6.4662063377479304E-02 a        20     0     1     1    20
 -4.6497492775695198E-01 a        21     0     1     1    21
 -8.0239020072524536E-02 a        22     0     1     1    22
  2.6370505837336505E-01 a        23     0     1     1    23
 -6.6490131814305409E-01 a        24     0     1     1    24
  4.1285816756239969E-02 a        25     0     1     1    25
 -2.9448374675435790E-01 a        26     0     2     1     1
  2.2805091865995708E-01 a        27     0     2     1     2
 -1.7694867931860442E-01 a        28     0     2     1     3
  4.3518857082386980E-02 a        29     0     2     1     4
 -1.5929964738290650E-01 a        30     0     2     1     5
  6.7943271749814926E-01 a        31     0     2     1     6
 -3.9834715909533171E-02 a        32     0     2     1     7
 -7.3612078769924671E-01 a        33     0     2     1     8
 -1.5566238583576938E-01 a        34     0     2     1     9
 -4.6952766916449690E-01 a        35     0     2     1    10
 -2.0291153360002656E-01 a        36     0     2     1    11
  3.2411699816446543E-01 a        37     0     2     1    12
  1.1569333842533383E-02 a        38     0     2     1    13
  3.1475790299238027E-01 a        39     0     2     1    14
  1.5593738754843819E-01 a        40     0     2     1    15
 -1.7837018908995816E-02 a        41     0     2     1    16
 -8.7383336457638483E-01 a        42     0     2     1    17
  1.6931941524024860E-01 a        43     0     2     1    18
 -1.0369591336973646E-01 a        44     0     2     1    19
  1.3350684198464824E-01 a        45     0     2     1    20
  1.0881846252833020E-01 a        46     0     2     1    21
 -4.5089935688800514E-01 a        47     0     2     1    22
  3.9284332138991845E-01 a        48     0     2     1    23
  3.4940410422342139E-01 a        49     0     2     1    24
  2.9899432631687001E-01 a        50     0     2     1    25
  6.4534006965955099E-02 a        51     0     3     1     1
 -6.4469951250383017E-02 a        52     0     3     1     2
  1.1159207155883984E-01 a        53     0     3     1     3
  2.0014992510039359E-01 a        54     0     3     1     4
 -1.0886374269373215E-01 a        55     0     3     1     5
 -5.3522270007265761E-02 a        56     0     3     1     6
  5.0051973320006958E-02 a        57     0     3     1     7
 -1.8067001372707786E-01 a        58     0     3     1     8
 -6.3122279985202909E-02 a        59     0     3     1     9
 -1.4941298241494647E-01 a        60     0     3     1    10
  8.5400413600964883E-02 a        61     0     3     1    11
  1.0291165592429322E-01 a        62     0     3     1    12
 -1.6612589110058984E-01 a        63     0     3     1    13
 -1.1794659127951911E-01 a        64     0     3     1    14
  1.6226872734868658E-01 a        65     0     3     1    15
  1.5523417521423874E-01 a        66     0     3     1    16
  9.1152239322579473E-02 a        67     0     3     1    17
  2.4682961077729181E-04 a        68     0     3     1    18
  4.0309018373778135E-02 a        69     0     3     1    19
 -1.9732110624510982E-01 a        70     0     3     1    20
 -8.6881435031946896E-02 a        71     0     3     1    21
 -1.2584855139385925E-02 a        72     0     3     1    22
  7.9192934273557530E-02 a        73     0     3     1    23
  5.3891851630359429E-02 a        74     0     3     1    24
  6.5108589624610663E-02 a        75     0     3     1    25
 -1.4667105772447789E-01 a        76     0     4     1     1
 -2.2257476369377936E-02 a        77     0     4     1     2
 -1.3985125737679385E-01 a        78     0     4     1     3
  1.4738930665373474E-02 a        79     0     4     1     4
  4.0846897482787026E-02 a        80     0     4     1     5
  1.3639483671743302E-02 a        81     0     4     1     6
 -3.5296055151398019E-02 a        82     0     4     1     7
 -3.4791657704551206E-02 a        83     0     4     1     8
 -3.2114203590349839E-02 a        84     0     4     1     9
