################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0091290610036457E-01 a         1     0     1     1     1
  7.7348960400653297E-02 a         2     0     1     1     2
 -7.5364607299732114E-02 a         3     0     1     1     3
 -2.7886337960473379E-01 a         4     0     1     1     4
 -1.3604262797086150E-01 a         5     0     1     1     5
 -2.8657129132879250E-01 a         6     0     1     1     6
 -2.4832834026781966E-01 a         7     0     1     1     7
 -1.1391619699500874E-01 a         8     0     1     1     8
 -3.4631328421242329E-02 a         9     0     1     1     9
  1.6319795601533522E-02 a        10     0     1     1    10
 -8.0116223396923619E-02 a        11     0     1     1    11
 -2.4710384931603141E-01 a        12     0     1     1    12
  2.5789549256442806E-01 a        13     0     1     1    13
  4.7246048430189206E-03 a        14     0     1     1    14
  3.1514703530651711E-01 a        15     0     1     1    15
 -6.4949553427142342E-02 a        16     0     1     1    16
  1.3907519338987323E-01 a        17     0     1     1    17
 -1.1643989442024087E-01 a        18     0     1     1    18
  1.1514606335571555E-01 a        19     0     1     1    19
 -1.8989931185971118E-01 a        20     0     1     1    20
  2.4710920460174762E-01 a        21     0     1     1    21
 -4.6982644453908887E-02 a        22     0     1     1    22
  5.5677120283074935E-02 a        23     0     1     1    23
 -1.4973747622510100E-01 a        24     0     1     1    24
  9.7679471024335801E-02 a        25     0     1     1    25
  1.8619449322346739E-02 a        26     0     2     1     1
  1.8012794874984750E-02 a        27     0     2     1     2
  1.2787579906030544E-01 a        28     0     2     1     3
  1.2225276503718276E-01 a        29     0     2     1     4
 -1.1553749630076822E-01 a        30     0     2     1     5
 -3.6012397883898972E-03 a        31     0     2     1     6
 -7.7027699551510745E-02 a        32     0     2     1     7
  1.1466913839364523E-01 a        33     0     2     1     8
  1.1222594148546414E-01 a        34     0     2     1     9
  4.0320052978075407E-02 a        35     0     2     1    10
  1.0894520644239432E-01 a        36     0     2     1    11
  1.0345236715607301E-01 a        37     0     2     1    12
 -1.6939368352096623E-01 a        38     0     2     1    13
 -2.2247716430779257E-01 a        39     0     2     1    14
  3.2544109068503091E-01 a        40     0     2     1    15
  2.5368446759994567E-02 a        41     0     2     1    16
 -8.8142338090796538E-02 a        42     0     2     1    17
 -1.0738133743703211E-02 a        43     0     2     1    18
 -1.9735466298692501E-02 a        44     0     2     1    19
 -5.9281016134356219E-02 a        45     0     2     1    20
 -1.3730613706963965E-01 a        46     0     2     1    21
 -3.5172073210668960E-02 a        47     0     2     1    22
  1.7457896928475303E-01 a        48     0     2     1    23
  1.4280270596963154E-01 a        49     0     2     1    24
 -1.3426922113831327E-01 a        50     0     2     1    25
  7.5603628320484909E-02 a        51     0     3     1     1
  1.1558218248449756E-02 a        52     0     3     1     2
 -2.3822341631804622E-01 a        53     0     3     1     3
 -1.6697817828006739E-01 a        54     0     3     1     4
  1.7048711801454539E-01 a        55     0     3     1     5
  8.3272405584195637E-03 a        56     0     3     1     6
 -1.3923949453539267E-01 a        57     0     3     1     7
  5.2551578406454441E-02 a        58     0     3     1     8
  5.6464772240936621E-02 a        59     0     3     1     9
  6.7330618603989714E-02 a        60     0     3     1    10
 -4.9232356710597468E-02 a        61     0     3     1    11
 -1.1135339036189518E-01 a        62     0     3     1    12
 -1.0295253377645970E-01 a        63     0     3     1    13
 -8.6420210752371635E-02 a        64     0     3     1    14
 -1.8819598725461906E-02 a        65     0     3     1    15
  6.0577556344211796E-02 a        66     0     3     1    16
 -1.7513915518311829E-01 a        67     0     3     1    17
 -2.3353572416044319E-03 a        68     0     3     1    18
  7.2761989519978592E-03 a        69     0     3     1    19
 -6.9244426322649447E-02 a        70     0     3     1    20
 -1.5023591130990638E-01 a        71     0     3     1    21
 -1.1230683774458032E-01 a        72     0     3     1    22
  2.7570899476870553E-02 a        73     0     3     1    23
