################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.8596429674781029E-02 a         1     0     1     1     1
 -1.2041442704890018E-01 a         2     0     1     1     2
 -9.0130814165899104E-02 a         3     0     1     1     3
  2.3804159199742408E-01 a         4     0     1     1     4
 -2.2446872100054516E-01 a         5     0     1     1     5
  1.0352274912996466E-01 a         6     0     1     1     6
  1.0310800240030027E-01 a         7     0     1     1     7
  1.6785398208181485E-01 a         8     0     1     1     8
 -7.1527660921833963E-02 a         9     0     1     1     9
 -1.7115516408250108E-02 a        10     0     1     1    10
 -9.0949913698319576E-02 a        11     0     1     1    11
 -1.1590937783943565E-01 a        12     0     1     1    12
  7.9056623579332269E-02 a        13     0     1     1    13
 -2.7476463780104571E-01 a        14     0     1     1    14
 -2.9789167648207986E-02 a        15     0     1     1    15
 -6.3446401835288106E-03 a        16     0     1     1    16
 -2.9650078780295741E-02 a        17     0     1     1    17
  5.6226600626394715E-02 a        18     0     1     1    18
 -1.1960771529360151E-01 a        19     0     1     1    19
 -5.1374956050035905E-02 a        20     0     1     1    20
  1.2566394683963170E-01 a        21     0     1     1    21
  2.3027731839690407E-01 a        22     0     1     1    22
  2.5811276718262471E-02 a        23     0     1     1    23
  5.2454120800625635E-02 a        24     0     1     1    24
 -3.7462419872609315E-02 a        25     0     1     1    25
 -1.1817103945652342E-01 a        26     0     2     1     1
 -6.6829214407400875E-02 a        27     0     2     1     2
  3.8706567987984900E-02 a        28     0     2     1     3
 -3.7158846982259641E-01 a        29     0     2     1     4
  3.9708702858667823E-02 a        30     0     2     1     5
 -7.1132612641957846E-02 a        31     0     2     1     6
  9.5424765072992079E-02 a        32     0     2     1     7
 -1.5528974056346240E-01 a        33     0     2     1     8
 -6.0278002244200601E-02 a        34     0     2     1     9
 -9.6545366288686110E-02 a        35     0     2     1    10
  3.3887440141907317E-02 a        36     0     2     1    11
  1.1585230267775018E-01 a        37     0     2     1    12
 -3.4640152433674937E-02 a        38     0     2     1    13
 -2.1844771078629049E-01 a        39     0     2     1    14
 -5.6144392002360322E-02 a        40     0     2     1    15
 -1.4162542763082225E-01 a        41     0     2     1    16
  1.8108312375700472E-01 a        42     0     2     1    17
 -1.7853351748953650E-01 a        43     0     2     1    18
 -1.8780481992278256E-01 a        44     0     2     1    19
  4.0665071695547290E-02 a        45     0     2     1    20
 -6.7919297553846875E-02 a        46     0     2     1    21
  1.2623034374482359E-01 a        47     0     2     1    22
  4.5475587668996051E-02 a        48     0     2     1    23
 -2.2000598522317474E-01 a        49     0     2     1    24
  1.2823347316229844E-01 a        50     0     2     1    25
 -1.0002215436605322E-01 a        51     0     3     1     1
 -1.1061187071424433E-01 a        52     0     3     1     2
  1.1411969603040152E-01 a        53     0     3     1     3
 -1.0719256173655151E-01 a        54     0     3     1     4
  1.2671440386589200E-03 a        55     0     3     1     5
 -3.5861673972493813E-01 a        56     0     3     1     6
 -3.3503601076100474E-02 a        57     0     3     1     7
  4.8969493729512058E-02 a        58     0     3     1     8
 -5.2156957065296952E-02 a        59     0     3     1     9
 -2.3262681257196046E-02 a        60     0     3     1    10
  1.1584670490545262E-01 a        61     0     3     1    11
 -1.9306753825471160E-01 a        62     0     3     1    12
  1.0246736158291302E-01 a        63     0     3     1    13
  1.6941491775991432E-01 a        64     0     3     1    14
  1.7485861700470962E-01 a        65     0     3     1    15
  1.7133353625214048E-01 a        66     0     3     1    16
 -8.6991398715071708E-02 a        67     0     3     1    17
 -1.5093818685242294E-01 a        68     0     3     1    18
  1.1582102694396976E-02 a        69     0     3     1    19
 -5.3468964309683856E-02 a        70     0     3     1    20
  9.0650409405893209E-02 a        71     0     3     1    21
 -6.7057813116900331E-02 a        72     0     3     1    22
 -5.8147161707608593E-02 a        73     0     3     1    23
 -1.5614708055181284E-01 a        74     0     3     1    24
  2.4398591975833872E-01 a        75     0     3     1    25
  5.0680042793628810E-03 a        76     0     4     1     1
  8.8650122762122099E-02 a        77     0     4     1     2
 -1.6503278219627996E-02 a        78     0     4     1     3
  3.2961123467126835E-01 a        79     0     4     1     4
  7.8282539098983805E-02 a        80     0     4     1     5
 -1.1567451146780694E-01 a        81     0     4     1     6
 -1.4234038244567310E-01 a        82     0     4     1     7
  2.5704098795042540E-01 a        83     0     4     1     8
 -2.9042317023468340E-02 a        84     0     4     1     9
  1.4685969457808753E-02 a        85     0     4     1    10
  4.7951437373929533E-02 a        86     0     4     1    11
  8.3499622629111259E-02 a        87     0     4     1    12
 -4.8742044625482102E-02 a        88     0     4     1    13
 -1.3538014923177769E-01 a        89     0     4     1    14
 -7.7555519789209382E-02 a        90     0     4     1    15
  1.7095807259335610E-02 a        91     0     4     1    16
  1.2177558018004941E-01 a        92     0     4     1    17
 -1.0543531297380858E-01 a        93     0     4     1    18
  1.2129891290177407E-02 a        94     0     4     1    19
 -3.2708545174897014E-03 a        95     0     4     1    20
 -1.1701484851484821E-01 a        96     0     4     1    21
 -4.7361552334058199E-02 a        97     0     4     1    22
 -5.2506477230664213E-02 a        98     0     4     1    23
  2.6819916653830808E-02 a        99     0     4     1    24
 -1.0537427809842916E-01 a       100     0     4     1    25
  2.8718838922576678E-01 a       101     0     5     1     1
  1.6121775099608684E-01 a       102     0     5     1     2
  1.4746650654125043E-01 a       103     0     5     1     3
 -3.7184547984434359E-02 a       104     0     5     1     4
  2.9440219585719607E-01 a       105     0     5     1     5
 -1.1515850323322560E-01 a       106     0     5     1     6
  1.4222532237168067E-01 a       107     0     5     1     7
  1.1010122040242716E-01 a       108     0     5     1     8
  1.5546955872797824E-01 a       109     0     5     1     9
  3.8913236533388226E-02 a       110     0     5     1    10
  1.0476435233728813E-01 a       111     0     5     1    11
  9.5567309661679395E-02 a       112     0     5     1    12
 -1.5129294351871830E-02 a       113     0     5     1    13
  1.7341805300940036E-01 a       114     0     5     1    14
  1.8134824699904316E-02 a       115     0     5     1    15
 -8.5482273965874392E-02 a       116     0     5     1    16
  3.3552525429803209E-01 a       117     0     5     1    17
 -1.9505456078354615E-02 a       118     0     5     1    18
  8.0292479276281405E-04 a       119     0     5     1    19
 -7.5120250926468913E-03 a       120     0     5     1    20
  2.0565420643462465E-01 a       121     0     5     1    21
 -3.5167401848881071E-02 a       122     0     5     1    22
 -1.9744719908476072E-01 a       123     0     5     1    23
 -1.5227600809775413E-01 a       124     0     5     1    24
 -1.4718674815465496E-01 a       125     0     5     1    25
 -5.1646185065779948E-02 a       126     0     6     1     1
 -9.9607338932120801E-03 a       127     0     6     1     2
 -1.0975731913336151E-01 a       128     0     6     1     3
  1.0223714154050212E-01 a       129     0     6     1     4
  6.1579763553577971E-02 a       130     0     6     1     5
 -9.9843276391891195E-02 a       131     0     6     1     6
  7.6679564147063617E-02 a       132     0     6     1     7
  1.9586121174838172E-01 a       133     0     6     1     8
 -1.3196383886495197E-02 a       134     0     6     1     9
  1.4731334453192912E-01 a       135     0     6     1    10
 -2.2814743280378026E-03 a       136     0     6     1    11
 -2.3694370523363825E-01 a       137     0     6     1    12
  3.8450417632197573E-02 a       138     0     6     1    13
 -1.9826329630745418E-01 a       139     0     6     1    14
  2.5167049627673582E-01 a       140     0     6     1    15
 -3.5123237348721630E-02 a       141     0     6     1    16
 -1.8212031233521056E-01 a       142     0     6     1    17
 -1.2242729585728677E-01 a       143     0     6     1    18
  4.3927102117944899E-02 a       144     0     6     1    19
 -1.6719148090833674E-01 a       145     0     6     1    20
  1.6953533224506417E-01 a       146     0     6     1    21
 -3.0852879054735627E-01 a       147     0     6     1    22
  1.3380243040887614E-02 a       148     0     6     1    23
  2.2891829563851296E-01 a       149     0     6     1    24
  6.9026014204521924E-02 a       150     0     6     1    25
  6.0866251301974324E-02 a       151     0     7     1     1
 -1.3785569441000028E-01 a       152     0     7     1     2
 -1.8710210918878284E-01 a       153     0     7     1     3
 -1.6662662171682188E-01 a       154     0     7     1     4
  2.8466314880489274E-01 a       155     0     7     1     5
  1.8030751904437126E-01 a       156     0     7     1     6
  3.1740138308382720E-01 a       157     0     7     1     7
  1.7945375735681643E-01 a       158     0     7     1     8
  6.5264756104923142E-03 a       159     0     7     1     9
  5.5614111964263614E-02 a       160     0     7     1    10
  3.3988788738797342E-02 a       161     0     7     1    11
 -1.0355357596304168E-01 a       162     0     7     1    12
 -9.7574615728391351E-02 a       163     0     7     1    13
 -2.4177974756384396E-01 a       164     0     7     1    14
 -9.3771229633643510E-02 a       165     0     7     1    15
 -3.0388975107055261E-01 a       166     0     7     1    16
  2.0459891666526595E-01 a       167     0     7     1    17
 -1.1167765550637371E-01 a       168     0     7     1    18
 -2.4580724698531470E-01 a       169     0     7     1    19
 -9.0053831257826608E-02 a       170     0     7     1    20
  1.2523119841612762E-01 a       171     0     7     1    21
  1.5154238020904626E-01 a       172     0     7     1    22
  6.7363665155793270E-02 a       173     0     7     1    23
 -2.9949013454393242E-01 a       174     0     7     1    24
  4.8585793185615379E-02 a       175     0     7     1    25
 -6.6019526921924324E-02 a       176     0     8     1     1
  2.0971797396429827E-02 a       177     0     8     1     2
 -5.7439093963053151E-03 a       178     0     8     1     3
 -2.2666727021915623E-02 a       179     0     8     1     4
  1.4718110152257985E-01 a       180     0     8     1     5
 -5.6411200161667653E-03 a       181     0     8     1     6
  1.5767983365295021E-01 a       182     0     8     1     7
 -1.8139561901510651E-01 a       183     0     8     1     8
 -5.1637418653341115E-02 a       184     0     8     1     9
  5.1748632230845033E-02 a       185     0     8     1    10
 -1.6729073008997109E-02 a       186     0     8     1    11
  2.3734391653355658E-01 a       187     0     8     1    12
  1.4907952151311771E-01 a       188     0     8     1    13
  6.8456912264462988E-02 a       189     0     8     1    14
  1.6468598750876876E-01 a       190     0     8     1    15
  8.6824568758735315E-02 a       191     0     8     1    16
  1.1951646572095841E-02 a       192     0     8     1    17
  2.1076391282416540E-01 a       193     0     8     1    18
 -6.2630859939460437E-02 a       194     0     8     1    19
  5.0940031895130890E-02 a       195     0     8     1    20
  9.1602781106512501E-02 a       196     0     8     1    21
  1.4061544905773329E-01 a       197     0     8     1    22
  3.7040990993219586E-02 a       198     0     8     1    23
  1.2630169039997644E-01 a       199     0     8     1    24
 -2.4425810660808718E-03 a       200     0     8     1    25
  7.5845564037908403E-02 a       201     0     9     1     1
  6.8641934775635474E-02 a       202     0     9     1     2
  1.9790761790611802E-01 a       203     0     9     1     3
 -9.8748314686888911E-02 a       204     0     9     1     4
 -2.2934792985227798E-01 a       205     0     9     1     5
 -8.4519742082000707E-02 a       206     0     9     1     6
 -1.1600492409369689E-01 a       207     0     9     1     7
 -1.9154759546820002E-01 a       208     0     9     1     8
  6.8667631626301476E-02 a       209     0     9     1     9
 -7.7935796959517134E-02 a       210     0     9     1    10
 -1.6443224749676469E-01 a       211     0     9     1    11
 -3.0943056049630123E-02 a       212     0     9     1    12
  1.3901737785786372E-01 a       213     0     9     1    13
  1.1981123357997653E-01 a       214     0     9     1    14
 -2.8783415490701469E-01 a       215     0     9     1    15
  3.2014783610668847E-02 a       216     0     9     1    16
 -2.9515428095619006E-01 a       217     0     9     1    17
  2.8088237068555556E-02 a       218     0     9     1    18
  2.9419589969501607E-02 a       219     0     9     1    19
  1.8212303168190638E-01 a       220     0     9     1    20
  1.1095816230060156E-01 a       221     0     9     1    21
  2.2441906555106174E-02 a       222     0     9     1    22
  1.0370760977164313E-01 a       223     0     9     1    23
 -2.0857369230095762E-01 a       224     0     9     1    24
  1.1488452803349603E-01 a       225     0     9     1    25
  2.8458054038103997E-01 a       226     0    10     1     1
  1.1744972227444279E-01 a       227     0    10     1     2
  1.7955906636564670E-01 a       228     0    10     1     3
 -3.0740631711453925E-01 a       229     0    10     1     4
  1.4172833974964047E-01 a       230     0    10     1     5
  1.9004242071574701E-01 a       231     0    10     1     6
 -2.8862530983908607E-01 a       232     0    10     1     7
 -1.7135979596182679E-01 a       233     0    10     1     8
 -8.0979931826842794E-02 a       234     0    10     1     9
 -2.2758010321948408E-01 a       235     0    10     1    10
  1.3800551899596333E-01 a       236     0    10     1    11
 -1.6897433342283655E-01 a       237     0    10     1    12
 -7.3706332887305770E-02 a       238     0    10     1    13
  2.2713494044884828E-03 a       239     0    10     1    14
  5.4538496221852459E-02 a       240     0    10     1    15
 -1.5517269888501109E-01 a       241     0    10     1    16
  3.1669398436131077E-02 a       242     0    10     1    17
  1.3381768349852677E-01 a       243     0    10     1    18
 -2.2247584294899816E-01 a       244     0    10     1    19
  1.2647212240882183E-01 a       245     0    10     1    20
  6.4525914451055474E-02 a       246     0    10     1    21
  1.2245904822613476E-01 a       247     0    10     1    22
 -1.6986733029269885E-01 a       248     0    10     1    23
 -6.1145861987248154E-02 a       249     0    10     1    24
  1.6205478192763023E-01 a       250     0    10     1    25
 -1.0956657851280885E-01 a       251     0    11     1     1
  1.3977923539094669E-01 a       252     0    11     1     2
 -5.2966551744204823E-03 a       253     0    11     1     3
 -9.6784434551813042E-02 a       254     0    11     1     4
 -7.9838655350240276E-02 a       255     0    11     1     5
  1.9658406914922838E-01 a       256     0    11     1     6
 -3.5680448012554954E-02 a       257     0    11     1     7
 -9.9740593319052662E-02 a       258     0    11     1     8
  7.4944540434951759E-02 a       259     0    11     1     9
  5.1116129546729387E-02 a       260     0    11     1    10
 -2.7676790101249066E-01 a       261     0    11     1    11
  5.3152994567076492E-02 a       262     0    11     1    12
 -6.6951112630931273E-02 a       263     0    11     1    13
  5.8301308752629337E-02 a       264     0    11     1    14
  5.9271618894774794E-02 a       265     0    11     1    15
 -1.1738058355100559E-01 a       266     0    11     1    16
  7.6236723644698717E-02 a       267     0    11     1    17
 -3.0645667827057732E-01 a       268     0    11     1    18
  1.5261392751008993E-01 a       269     0    11     1    19
 -7.3001568737267958E-02 a       270     0    11     1    20
  1.2143722794910715E-01 a       271     0    11     1    21
  2.0336980969679088E-02 a       272     0    11     1    22
 -1.8180448828714099E-01 a       273     0    11     1    23
 -8.8540870977670619E-02 a       274     0    11     1    24
  2.6445139646778665E-01 a       275     0    11     1    25
 -1.1886064813345304E-01 a       276     0    12     1     1
 -6.8204686129839043E-02 a       277     0    12     1     2
  1.4116952226408458E-01 a       278     0    12     1     3
  1.2708663651272578E-01 a       279     0    12     1     4
 -4.2367283333398134E-02 a       280     0    12     1     5
 -2.2333057884986580E-02 a       281     0    12     1     6
 -4.2176614024994771E-02 a       282     0    12     1     7
 -1.1006200470849292E-01 a       283     0    12     1     8
  1.8395395368619552E-01 a       284     0    12     1     9
 -3.0224122868525982E-01 a       285     0    12     1    10
  2.0241469663935882E-01 a       286     0    12     1    11
 -3.7166407487559859E-02 a       287     0    12     1    12
 -2.4585585196673954E-01 a       288     0    12     1    13
  1.2060567827961942E-01 a       289     0    12     1    14
 -2.0299891228190214E-01 a       290     0    12     1    15
  1.2185309680142760E-01 a       291     0    12     1    16
 -1.0131273386434272E-01 a       292     0    12     1    17
  2.3998580080464080E-01 a       293     0    12     1    18
  1.1134071697582630E-01 a       294     0    12     1    19
 -8.5400411335982959E-02 a       295     0    12     1    20
  8.9891359791057349E-02 a       296     0    12     1    21
 -6.4555060227730901E-02 a       297     0    12     1    22
  8.4858939928146471E-02 a       298     0    12     1    23
  3.6664729316679581E-03 a       299     0    12     1    24
 -1.3150469918179106E-01 a       300     0    12     1    25
  2.2112470762568801E-01 a       301     0    13     1     1
  1.7632661815715395E-01 a       302     0    13     1     2
  1.8678610522375133E-01 a       303     0    13     1     3
  3.1285658258792461E-02 a       304     0    13     1     4
 -2.7460019810657859E-02 a       305     0    13     1     5
  9.9791193462403588E-02 a       306     0    13     1     6
 -2.4038601875332914E-02 a       307     0    13     1     7
  3.4807802758784916E-02 a       308     0    13     1     8
  3.4275106230365088E-01 a       309     0    13     1     9
 -7.0427394471554924E-02 a       310     0    13     1    10
 -9.9655155056469144E-02 a       311     0    13     1    11
  1.4374086718520659E-01 a       312     0    13     1    12
  2.1048703265964361E-01 a       313     0    13     1    13
 -1.1631801680027677E-02 a       314     0    13     1    14
  2.8986403757948670E-02 a       315     0    13     1    15
 -2.1530310678888173E-01 a       316     0    13     1    16
 -1.8876617668134262E-02 a       317     0    13     1    17
  1.1618930148971554E-01 a       318     0    13     1    18
 -1.9111838528719262E-02 a       319     0    13     1    19
  2.0629490149468693E-01 a       320     0    13     1    20
 -1.0627566292929966E-01 a       321     0    13     1    21
  1.6393480050834877E-01 a       322     0    13     1    22
 -1.2417460877877040E-01 a       323     0    13     1    23
 -1.8380714251252237E-02 a       324     0    13     1    24
 -2.5777323486050718E-01 a       325     0    13     1    25
 -1.1918181933940719E-01 a       326     0    14     1     1
 -1.4118565469062222E-01 a       327     0    14     1     2
 -5.7201047040421393E-02 a       328     0    14     1     3
 -2.1895033189506216E-01 a       329     0    14     1     4
 -2.4363952191593030E-01 a       330     0    14     1     5
  3.0570151421704168E-02 a       331     0    14     1     6
  2.3367602988987193E-01 a       332     0    14     1     7
  1.3942477812579143E-01 a       333     0    14     1     8
 -7.2616827746311216E-02 a       334     0    14     1     9
 -2.0981541920894448E-01 a       335     0    14     1    10
 -1.6451609384451813E-02 a       336     0    14     1    11
 -8.8220542068853811E-02 a       337     0    14     1    12
  2.7208338400431680E-03 a       338     0    14     1    13
 -3.9662298609382240E-01 a       339     0    14     1    14
 -1.2919999292648431E-02 a       340     0    14     1    15
 -1.8173212871796576E-01 a       341     0    14     1    16
  2.8774463524626492E-01 a       342     0    14     1    17
  2.7032535433212906E-01 a       343     0    14     1    18
 -4.0776895181725625E-01 a       344     0    14     1    19
 -7.3758068410692462E-02 a       345     0    14     1    20
  2.6468593572478316E-01 a       346     0    14     1    21
 -8.8579581914669595E-02 a       347     0    14     1    22
  7.1523352766405188E-02 a       348     0    14     1    23
  4.2549121119682485E-03 a       349     0    14     1    24
  2.9730919252078238E-02 a       350     0    14     1    25
  5.0905085061757734E-02 a       351     0    15     1     1
  3.0396130831447276E-02 a       352     0    15     1     2
 -7.5922944065063211E-02 a       353     0    15     1     3
  3.8456045249862403E-01 a       354     0    15     1     4
 -1.4802989088236332E-01 a       355     0    15     1     5
 -3.7986080017638660E-02 a       356     0    15     1     6
 -9.5728087250384022E-02 a       357     0    15     1     7
 -1.7077051016620288E-02 a       358     0    15     1     8
  2.4339483186557648E-01 a       359     0    15     1     9
 -2.8797004355891862E-02 a       360     0    15     1    10
  8.7274882446104443E-02 a       361     0    15     1    11
 -7.2110304704750125E-03 a       362     0    15     1    12
  5.3191599278029036E-02 a       363     0    15     1    13
  6.9105260195011814E-02 a       364     0    15     1    14
 -2.8744739209625312E-02 a       365     0    15     1    15
 -9.7712172632415301E-02 a       366     0    15     1    16
  5.4552685884456983E-02 a       367     0    15     1    17
 -1.8118203747823639E-02 a       368     0    15     1    18
 -3.0516086591061448E-01 a       369     0    15     1    19
  1.7140378944187146E-02 a       370     0    15     1    20
  1.0939573024259476E-01 a       371     0    15     1    21
 -1.3876494227759240E-01 a       372     0    15     1    22
  1.0317861761489289E-02 a       373     0    15     1    23
  2.0590523350128342E-01 a       374     0    15     1    24
 -2.0696711403356516E-01 a       375     0    15     1    25
 -4.3136476889565963E-02 a       376     0    16     1     1
 -8.9707129461942241E-03 a       377     0    16     1     2
  2.9562853242418269E-01 a       378     0    16     1     3
  1.3141888903359983E-01 a       379     0    16     1     4
 -1.3049784915575380E-01 a       380     0    16     1     5
 -2.3903868453596511E-01 a       381     0    16     1     6
 -2.3051034548849922E-02 a       382     0    16     1     7
  3.3366231133068268E-02 a       383     0    16     1     8
  8.9786725785529167E-02 a       384     0    16     1     9
 -1.9983741391806972E-02 a       385     0    16     1    10
 -1.8675613338193497E-01 a       386     0    16     1    11
  6.8923067061374674E-02 a       387     0    16     1    12
  7.7802781879805244E-02 a       388     0    16     1    13
 -1.7332263245747215E-01 a       389     0    16     1    14
  6.2380655193366205E-02 a       390     0    16     1    15
 -2.8132125042159123E-01 a       391     0    16     1    16
  1.4439911552485094E-01 a       392     0    16     1    17
 -1.5406475466959205E-01 a       393     0    16     1    18
 -1.8999295766841066E-03 a       394     0    16     1    19
  7.8151853692384532E-02 a       395     0    16     1    20
 -4.7406454332324577E-01 a       396     0    16     1    21
 -4.1107551892457433E-02 a       397     0    16     1    22
  1.0840195962167687E-01 a       398     0    16     1    23
  1.4987852579468050E-01 a       399     0    16     1    24
  5.6199724435238491E-02 a       400     0    16     1    25
  2.0215106034374580E-01 a       401     0    17     1     1
  3.8429083877624959E-01 a       402     0    17     1     2
  2.2709941423437216E-01 a       403     0    17     1     3
  8.2191833495725616E-03 a       404     0    17     1     4
 -2.9707323128878238E-01 a       405     0    17     1     5
  1.6564492077895435E-01 a       406     0    17     1     6
  2.7497922609662689E-02 a       407     0    17     1     7
  2.9551640572413940E-01 a       408     0    17     1     8
  1.3559295453104861E-01 a       409     0    17     1     9
 -5.0040904162524970E-02 a       410     0    17     1    10
 -3.3815928658256433E-01 a       411     0    17     1    11
 -4.6248131479404465E-02 a       412     0    17     1    12
  2.4774042857508241E-01 a       413     0    17     1    13
  2.3701332339625572E-01 a       414     0    17     1    14
 -3.2089936636387917E-01 a       415     0    17     1    15
 -1.9676206948183095E-01 a       416     0    17     1    16
 -4.3220845309235471E-02 a       417     0    17     1    17
  2.0559643039536399E-01 a       418     0    17     1    18
  4.0675450699683235E-01 a       419     0    17     1    19
  1.4471687481030554E-01 a       420     0    17     1    20
 -4.8428244406765297E-02 a       421     0    17     1    21
 -3.7720991960597632E-02 a       422     0    17     1    22
  2.3263263283550901E-02 a       423     0    17     1    23
 -1.0378562639078959E-02 a       424     0    17     1    24
 -8.6107927635824991E-02 a       425     0    17     1    25
 -1.3355800819641361E-02 a       426     0    18     1     1
 -2.0881366662489403E-01 a       427     0    18     1     2
  3.1470113195040583E-01 a       428     0    18     1     3
 -1.4701991800805167E-01 a       429     0    18     1     4
 -1.5152288146740189E-01 a       430     0    18     1     5
 -1.2088551881137194E-01 a       431     0    18     1     6
 -8.4010844976167523E-02 a       432     0    18     1     7
 -2.2777319428438750E-01 a       433     0    18     1     8
  2.0120658040645503E-01 a       434     0    18     1     9
 -3.6008313830685218E-01 a       435     0    18     1    10
  8.6296911379535657E-02 a       436     0    18     1    11
 -3.6796907974828996E-01 a       437     0    18     1    12
  1.4599359697635284E-01 a       438     0    18     1    13
 -6.6403466696151520E-02 a       439     0    18     1    14
  6.9525993821826448E-02 a       440     0    18     1    15
 -3.2738871956625898E-01 a       441     0    18     1    16
  1.2466438000859865E-01 a       442     0    18     1    17
  2.4338074369601817E-01 a       443     0    18     1    18
 -3.2964764437442190E-01 a       444     0    18     1    19
 -2.2566098166065821E-02 a       445     0    18     1    20
  1.6546193940415586E-04 a       446     0    18     1    21
  1.0846055050148921E-01 a       447     0    18     1    22
  1.0145644076384208E-01 a       448     0    18     1    23
  2.2379439271893986E-01 a       449     0    18     1    24
  1.1248528093701635E-01 a       450     0    18     1    25
 -2.2994234266361175E-02 a       451     0    19     1     1
  4.1932077084575657E-02 a       452     0    19     1     2
 -9.8770030929277691E-02 a       453     0    19     1     3
  4.3905213237701605E-03 a       454     0    19     1     4
  7.4826057430244383E-02 a       455     0    19     1     5
  2.7259507788456194E-01 a       456     0    19     1     6
  4.0038858345534549E-02 a       457     0    19     1     7
  1.5754334558924676E-01 a       458     0    19     1     8
  1.4879885964424036E-01 a       459     0    19     1     9
  1.4200928129888685E-01 a       460     0    19     1    10
 -1.0183426825179802E-01 a       461     0    19     1    11
  1.9281468925666084E-01 a       462     0    19     1    12
  1.6620431820728465E-01 a       463     0    19     1    13
  8.8810953182210342E-02 a       464     0    19     1    14
 -1.1783520277487891E-01 a       465     0    19     1    15
 -1.4326601007450820E-01 a       466     0    19     1    16
 -1.3175851891561635E-01 a       467     0    19     1    17
  8.3205071519166368E-02 a       468     0    19     1    18
  2.0183472950676094E-02 a       469     0    19     1    19
  6.9344420048063196E-02 a       470     0    19     1    20
 -2.0080446202436872E-01 a       471     0    19     1    21
  1.2708382375041393E-02 a       472     0    19     1    22
 -2.2657434131522821E-02 a       473     0    19     1    23
  2.9506685018289741E-01 a       474     0    19     1    24
 -2.5874972190350579E-02 a       475     0    19     1    25
 -2.7691208108420423E-01 a       476     0    20     1     1
 -1.5285468708353048E-01 a       477     0    20     1     2
  1.7799550709523559E-01 a       478     0    20     1     3
  2.2217813536306405E-01 a       479     0    20     1     4
 -4.5065766996149881E-01 a       480     0    20     1     5
 -3.0993746410608113E-02 a       481     0    20     1     6
 -2.9712719103595693E-02 a       482     0    20     1     7
  2.8817001199977160E-01 a       483     0    20     1     8
  1.3959074672555580E-01 a       484     0    20     1     9
 -2.4927906509972994E-01 a       485     0    20     1    10
  2.5680053189481650E-01 a       486     0    20     1    11
  7.1463258831975268E-02 a       487     0    20     1    12
