################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.9270678461241898E-01 a         1     0     1     1     1
  4.5216793962465238E-02 a         2     0     1     1     2
 -5.1523639116386344E-01 a         3     0     1     1     3
 -4.6535516563127777E-01 a         4     0     1     1     4
  2.2957488981584148E-01 a         5     0     1     1     5
 -3.1446363220148532E-01 a         6     0     1     1     6
  9.7888045993500955E-02 a         7     0     1     1     7
 -3.6382321828092257E-01 a         8     0     1     1     8
 -1.0625087854133880E-01 a         9     0     1     1     9
  2.2774565622090975E-01 a        10     0     1     1    10
  3.1384705681264002E-01 a        11     0     1     1    11
  2.6511097261238393E-02 a        12     0     1     1    12
  1.1731088656581937E-01 a        13     0     1     1    13
 -3.3217672381745161E-01 a        14     0     1     1    14
  1.2206747429448629E-01 a        15     0     1     1    15
 -2.2873243114506484E-01 a        16     0     1     1    16
  1.0406159523506384E-01 a        17     0     1     1    17
 -5.8175181327010350E-01 a        18     0     1     1    18
  3.7533013866955844E-01 a        19     0     1     1    19
  4.0227335177131163E-01 a        20     0     1     1    20
  4.1665472758004657E-01 a        21     0     1     1    21
 -1.7472984670006225E-01 a        22     0     1     1    22
  1.9592811820008008E-01 a        23     0     1     1    23
  9.6549486001308374E-02 a        24     0     1     1    24
 -1.0530185289384617E-01 a        25     0     1     1    25
  1.4930762057246139E-01 a        26     0     2     1     1
  4.4918680336950449E-02 a        27     0     2     1     2
  4.5281019851111728E-02 a        28     0     2     1     3
  6.0289406803863285E-02 a        29     0     2     1     4
 -4.6994459665399328E-02 a        30     0     2     1     5
  7.4194982194687037E-02 a        31     0     2     1     6
 -2.3401460065520897E-02 a        32     0     2     1     7
  4.6053876675140284E-02 a        33     0     2     1     8
 -1.6264176080336043E-01 a        34     0     2     1     9
  1.4417461913054047E-01 a        35     0     2     1    10
  6.0088165913552670E-02 a        36     0     2     1    11
  1.1564481956038411E-01 a        37     0     2     1    12
  6.9057648194274816E-03 a        38     0     2     1    13
 -1.2435125105572556E-01 a        39     0     2     1    14
  7.7244440057200195E-03 a        40     0     2     1    15
 -1.6649358434394113E-01 a        41     0     2     1    16
  3.3281522798451809E-03 a        42     0     2     1    17
  4.6737559394617635E-02 a        43     0     2     1    18
  6.0538305288695318E-02 a        44     0     2     1    19
  5.0558930231760623E-03 a        45     0     2     1    20
 -7.7129621236248599E-02 a        46     0     2     1    21
  7.5960576504654306E-02 a        47     0     2     1    22
 -2.5444566736716736E-03 a        48     0     2     1    23
  2.5626268154363463E-01 a        49     0     2     1    24
 -9.7929242037021011E-02 a        50     0     2     1    25
  4.9982633118325459E-02 a        51     0     3     1     1
  3.2264198802058074E-02 a        52     0     3     1     2
  1.1481200966832013E-01 a        53     0     3     1     3
 -3.3319576756938071E-02 a        54     0     3     1     4
 -1.8456521659457492E-01 a        55     0     3     1     5
  4.1931716676361485E-03 a        56     0     3     1     6
  7.8410722102578254E-02 a        57     0     3     1     7
  1.0259560985224536E-01 a        58     0     3     1     8
 -1.3098380873916468E-01 a        59     0     3     1     9
 -6.3519666161010985E-02 a        60     0     3     1    10
  1.6756325066655561E-01 a        61     0     3     1    11
  1.8478549859806435E-02 a        62     0     3     1    12
 -6.0932383231716902E-02 a        63     0     3     1    13
 -1.8735192505948159E-03 a        64     0     3     1    14
  2.2604232841835076E-02 a        65     0     3     1    15
 -3.2115403722472478E-02 a        66     0     3     1    16
 -3.3614602095087071E-02 a        67     0     3     1    17
 -2.6885041668933688E-02 a        68     0     3     1    18
 -2.9276065979166991E-02 a        69     0     3     1    19
  3.3540952154997228E-01 a        70     0     3     1    20
  2.2596278083275013E-02 a        71     0     3     1    21
  6.1572273872507145E-03 a        72     0     3     1    22
 -1.0158339504686799E-01 a        73     0     3     1    23
 -3.1303024515062540E-02 a        74     0     3     1    24
 -6.0488280742321064E-02 a        75     0     3     1    25
 -1.7871533986389759E-01 a        76     0     4     1     1
 -9.8702705623938361E-02 a        77     0     4     1     2
  1.2745965751457711E-01 a        78     0     4     1     3
  9.9613943387091827E-02 a        79     0     4     1     4
 -2.1875659790981813E-01 a        80     0     4     1     5
 -9.9258277808787779E-02 a        81     0     4     1     6
  4.7667622006290863E-02 a        82     0     4     1     7
 -1.4377493722014806E-01 a        83     0     4     1     8
 -1.0856248909446466E-01 a        84     0     4     1     9
  1.9164906173262036E-02 a        85     0     4     1    10
 -1.1623799226972632E-01 a        86     0     4     1    11
 -8.7936787506073116E-02 a        87     0     4     1    12
  1.9744160640339797E-01 a        88     0     4     1    13
  4.2986081034986752E-02 a        89     0     4     1    14
 -5.2167137343634110E-02 a        90     0     4     1    15
  4.6155724963956514E-02 a        91     0     4     1    16
 -9.8851010434589506E-02 a        92     0     4     1    17
  1.2738754184906984E-01 a        93     0     4     1    18
 -8.8475939549016988E-02 a        94     0     4     1    19
  1.6194695532252196E-01 a        95     0     4     1    20
  4.4972442874608567E-02 a        96     0     4     1    21
 -1.9139161597073170E-01 a        97     0     4     1    22
 -9.5109941205864135E-02 a        98     0     4     1    23
 -4.3874157950981027E-02 a        99     0     4     1    24
  1.0643798356805417E-01 a       100     0     4     1    25
  2.4392408075809000E-01 a       101     0     5     1     1
 -5.3104972515024440E-01 a       102     0     5     1     2
  4.3130964112113129E-01 a       103     0     5     1     3
 -9.1524023672944418E-02 a       104     0     5     1     4
  4.0448220422035497E-01 a       105     0     5     1     5
  1.0733133162275760E-03 a       106     0     5     1     6
  3.5252026732332825E-02 a       107     0     5     1     7
  1.2580125233977721E-01 a       108     0     5     1     8
  5.8101281811408123E-01 a       109     0     5     1     9
  2.2167240551638628E-01 a       110     0     5     1    10
 -5.3364313588559265E-01 a       111     0     5     1    11
  3.3451379929791303E-01 a       112     0     5     1    12
 -2.2892282376506604E-01 a       113     0     5     1    13
  5.3156839433987274E-02 a       114     0     5     1    14
 -5.0874161149801023E-01 a       115     0     5     1    15
 -4.1728933261987766E-01 a       116     0     5     1    16
  1.4999620741209702E-01 a       117     0     5     1    17
  4.2651830689907999E-01 a       118     0     5     1    18
 -7.1870913810820156E-02 a       119     0     5     1    19
 -5.0159279453749328E-01 a       120     0     5     1    20
 -7.7567588295198231E-01 a       121     0     5     1    21
  4.8818348561029851E-01 a       122     0     5     1    22
 -5.6722880125090991E-01 a       123     0     5     1    23
  3.6606255891731604E-01 a       124     0     5     1    24
 -1.0165405861140460E-01 a       125     0     5     1    25
 -1.0645298495645698E-01 a       126     0     6     1     1
 -4.0012397743575456E-02 a       127     0     6     1     2
  3.3652412369284969E-03 a       128     0     6     1     3
 -7.8826143437186191E-03 a       129     0     6     1     4
  1.7358072930535282E-01 a       130     0     6     1     5
  2.8448046074387512E-01 a       131     0     6     1     6
 -1.3056294705893540E-01 a       132     0     6     1     7
 -1.3185313838120468E-02 a       133     0     6     1     8
  3.6686742756156993E-01 a       134     0     6     1     9
 -9.5663768260750418E-02 a       135     0     6     1    10
  1.4439019553164681E-01 a       136     0     6     1    11
  2.4308817637560896E-02 a       137     0     6     1    12
 -5.5998623764237504E-02 a       138     0     6     1    13
  3.7044779451516685E-02 a       139     0     6     1    14
 -6.8861952822067071E-02 a       140     0     6     1    15
  8.3057922853933111E-02 a       141     0     6     1    16
 -1.5381344603468777E-01 a       142     0     6     1    17
 -1.9164195122290645E-01 a       143     0     6     1    18
 -1.4518239327922053E-01 a       144     0     6     1    19
 -5.5245390465709740E-02 a       145     0     6     1    20
 -6.9863571940377983E-03 a       146     0     6     1    21
 -6.6200789592920653E-02 a       147     0     6     1    22
  4.1923821971777339E-02 a       148     0     6     1    23
 -1.6687245449713639E-01 a       149     0     6     1    24
  1.4200637907056185E-01 a       150     0     6     1    25
 -8.3386783464202682E-02 a       151     0     7     1     1
 -5.4835826630364418E-02 a       152     0     7     1     2
 -6.9996750568616123E-02 a       153     0     7     1     3
 -3.3269096782611279E-02 a       154     0     7     1     4
  2.9336747622457754E-01 a       155     0     7     1     5
  6.0682683659853499E-02 a       156     0     7     1     6
  7.2564580172504681E-02 a       157     0     7     1     7
 -1.2792668121555292E-01 a       158     0     7     1     8
  5.8919835194414776E-03 a       159     0     7     1     9
  8.3849571929132033E-02 a       160     0     7     1    10
  3.4262782441944944E-02 a       161     0     7     1    11
 -8.5829253191513327E-02 a       162     0     7     1    12
  6.0921876982914507E-02 a       163     0     7     1    13
 -1.1478335383704115E-02 a       164     0     7     1    14
  8.6743755410307072E-02 a       165     0     7     1    15
 -4.6400916249271236E-02 a       166     0     7     1    16
  9.4293702515018715E-02 a       167     0     7     1    17
  3.3954957886011744E-02 a       168     0     7     1    18
  3.8720797085680256E-02 a       169     0     7     1    19
 -8.7429163786719152E-02 a       170     0     7     1    20
 -1.3152453845097550E-01 a       171     0     7     1    21
  5.5396650546722360E-02 a       172     0     7     1    22
 -7.1993363652674960E-02 a       173     0     7     1    23
  5.2347776475475366E-02 a       174     0     7     1    24
 -1.8093725007286923E-02 a       175     0     7     1    25
  7.7657325987189191E-02 a       176     0     8     1     1
 -7.9327775049999633E-02 a       177     0     8     1     2
 -2.2458923750349066E-01 a       178     0     8     1     3
 -8.9374108468446997E-02 a       179     0     8     1     4
 -9.9626817249943031E-02 a       180     0     8     1     5
  9.1570770143701401E-03 a       181     0     8     1     6
 -6.4739719139768656E-02 a       182     0     8     1     7
  2.3633434931712216E-01 a       183     0     8     1     8
 -2.9104426215988504E-02 a       184     0     8     1     9
 -1.8414834176151454E-01 a       185     0     8     1    10
 -4.0187994979848353E-02 a       186     0     8     1    11
  7.0264687042835478E-02 a       187     0     8     1    12
 -1.4326905221255276E-01 a       188     0     8     1    13
 -1.2997678332861386E-02 a       189     0     8     1    14
  6.2166669868762882E-02 a       190     0     8     1    15
 -2.4251557876462174E-02 a       191     0     8     1    16
  1.2075707751576249E-01 a       192     0     8     1    17
  1.0662912380015143E-02 a       193     0     8     1    18
  1.9271679204277842E-01 a       194     0     8     1    19
 -3.4226793328192645E-02 a       195     0     8     1    20
  6.6827564876225992E-03 a       196     0     8     1    21
  6.6157726009065262E-02 a       197     0     8     1    22
  4.0038290424349435E-02 a       198     0     8     1    23
 -1.4336311659081644E-01 a       199     0     8     1    24
